2.555523000000000000e+06,6.133057000000000000e+06,4.482568000000000000e+06,6.962440000000000000e+06,4.855793000000000000e+06,7.773152000000000000e+06
7.054159000000000000e+06,8.164011000000000000e+06,1.124033800000000000e+07,1.157727700000000000e+07,1.198722200000000000e+07,1.535842600000000000e+07
6.566932000000000000e+06,1.460745300000000000e+07,1.580507700000000000e+07,1.856064200000000000e+07,1.676291300000000000e+07,2.039595300000000000e+07
1.028065400000000000e+07,1.940948600000000000e+07,2.034818400000000000e+07,2.322510400000000000e+07,2.391270800000000000e+07,2.817213600000000000e+07
1.173331600000000000e+07,2.385278000000000000e+07,2.714623900000000000e+07,2.792858800000000000e+07,3.111438900000000000e+07,3.344094800000000000e+07
1.176359100000000000e+07,2.393364100000000000e+07,2.714604900000000000e+07,2.795429300000000000e+07,3.117926100000000000e+07,3.346138200000000000e+07
1.161274900000000000e+07,2.393001200000000000e+07,2.715649700000000000e+07,2.792484100000000000e+07,3.112675200000000000e+07,3.346149700000000000e+07
1.189589800000000000e+07,2.388771600000000000e+07,2.712512500000000000e+07,2.793966700000000000e+07,3.111044300000000000e+07,3.337385100000000000e+07
1.020935200000000000e+07,2.351170500000000000e+07,2.938344200000000000e+07,2.793869700000000000e+07,3.118331200000000000e+07,3.352055600000000000e+07
1.162183900000000000e+07,2.158554600000000000e+07,2.710516800000000000e+07,3.024349500000000000e+07,2.874900000000000000e+07,3.603051000000000000e+07
