3.805999999999999384e-01,3.528499999999998860e-01,1.837250000000000272e-01,9.450000000000001454e-02,5.044374999999999554e-02,2.927500000000000241e-02
7.264000000000000457e-01,6.891499999999998183e-01,3.651249999999999774e-01,1.861625000000000085e-01,9.663124999999998799e-02,5.312187500000000590e-02
9.961999999999998634e-01,1.010549999999999837e+00,5.432749999999999524e-01,2.779374999999999485e-01,1.437250000000000194e-01,7.746250000000000357e-02
1.332299999999999818e+00,1.418499999999999650e+00,7.287249999999998451e-01,3.704250000000000598e-01,1.908937500000000287e-01,1.023624999999999813e-01
1.500899999999999679e+00,1.754800000000000137e+00,8.950250000000000705e-01,4.630124999999999380e-01,2.385187500000000016e-01,1.272593749999999801e-01
1.546300000000000230e+00,1.689699999999999980e+00,9.114500000000000934e-01,4.627874999999999628e-01,2.385375000000000134e-01,1.273687499999999750e-01
1.588199999999999834e+00,1.524149999999999894e+00,9.052249999999999464e-01,4.628250000000000419e-01,2.380187500000000012e-01,1.270156249999999931e-01
1.564699999999999980e+00,1.716849999999999987e+00,9.111000000000001320e-01,4.628999999999999782e-01,2.380624999999999825e-01,1.266312500000000008e-01
1.675400000000000000e+00,1.698850000000000193e+00,9.014500000000000846e-01,4.625874999999999293e-01,2.380562499999999693e-01,1.272156249999999988e-01
1.549099999999999699e+00,1.623049999999999882e+00,9.032750000000000501e-01,4.626874999999999738e-01,2.383812499999999890e-01,1.268375000000000474e-01
